,file_name,description,short_desc
66,466.png,"The image shows a white phone case with a floral pattern on it, set against a dark background. The pattern consists of various shades of pink and purple, giving the phone a unique and stylish look.","**Stylish floral phone case** 
 
This phone case has a pretty floral design in pink and purple shades."
67,97.png,"The image shows a rectangular, dark gray mat with a wavy pattern on a black background.","Stylish, textured mat with a wave pattern."
68,144.png,The image shows a woman wearing a cream-colored dress adorned with a delicate floral headband of red roses. The dark background highlights the vibrant colors of her dress and headband.,**Cream dress with red rose headband**
69,200.png,"The image shows a young girl standing against a dark background, wearing a white shirt and fuchsia capri leggings, paired with white shoes.",Cute white shirt and fuchsia leggings outfit for a little girl.
70,11.png,"The image shows a pair of red quilted gloves with a rose embroidered on the back, set against a dark background.",Stylish red quilted gloves with a delicate rose embroidery.
71,413.png,The image shows a pair of aviator-style sunglasses with a gold frame and brown gradient lenses against a black background.,**Gold-framed aviator sunglasses with brown gradient lenses.**
72,458.png,"The image shows a pink slip-on sneaker with a white sole against a black background. The shoe has a glossy finish, giving it a sleek and stylish look.","Pink slip-on sneakers, sleek and stylish with a glossy finish."
73,225.png,"The image shows a black T-shirt with a cartoon image of a person wearing a red and white striped shirt and the word ""Kurt"" printed across the front. The background is dark, highlighting the vibrant colors of the shirt.","Cool black T-shirt with a fun cartoon design.  The shirt features a person in a red and white striped shirt, and the word ""Kurt"" is printed across the front."
74,127.png,"The image shows a pink bomber jacket with a white collar and cuffs against a dark background. The jacket has a classic design with a ribbed collar, cuffs, and hem. The fabric is soft and comfortable, perfect for a chilly day.","This is a soft, comfy pink bomber jacket with a classic look. It has a ribbed collar, cuffs, and hem."
75,329.png,"The image shows a woman standing against a dark background, wearing a pink, long-sleeved dress with a belt cinched around her waist.",Stylish pink dress with a belt.
76,421.png,"The image shows a woman standing against a dark background, wearing a brown jacket and black pants.","Stylish and comfortable, this brown jacket and black pants set is perfect for everyday wear."
77,188.png,"The image shows a man standing against a black background, wearing a white t-shirt and a pair of grey, slim-fit, straight-leg jeans. His shoes are red and black.","Classic and stylish.  White t-shirt, grey slim-fit jeans, and red and black sneakers."
78,89.png,"The image shows a man standing against a dark background, wearing a royal blue zip-up hoodie and matching pants.","Stylish and comfy, this blue hoodie and pants set is perfect for a casual look."
79,388.png,"The image shows a transparent object with a dark background, adorned with a vibrant array of feathers painted on its surface. The feathers are painted in a variety of colors, ranging from deep blues and purples to bright yellows and oranges, creating a visually striking contrast against the dark background.","This is a beautiful, colorful, and unique feather art piece."
80,400.png,"The image shows a transparent water bottle with a black lid and a black cap, set against a black background. The bottle is transparent, allowing the viewer to see the contents inside.",**Clear water bottle with a sleek black lid and cap.**
81,334.png,"The image shows a man wearing a white shirt and a blue scarf, holding a blue wristband, against a blurred background.","Stylish man's casual look: white shirt, blue scarf, and blue wristband."
82,252.png,"The image shows a brown and tan leather derby shoe with a black sole, set against a dark background. The shoe is designed for men, featuring a classic silhouette with a rounded toe, lace-up closure, and a sturdy rubber sole.","Classic men's derby shoes.  Durable leather, black sole."
83,343.png,"The image shows a close-up of a white cloth with a vibrant pattern of green, red, and blue flowers and leaves, set against a dark background.","This is a beautiful, patterned fabric with a vibrant floral design."
84,42.png,"The image shows a young girl standing against a black background, wearing a grey and white tracksuit with green stripes.",Cute grey and white tracksuit with green stripes.
85,155.png,"The image shows a woman standing with her back to the viewer, wearing a black top and a beige skirt. The background is a deep black, contrasting with her outfit.","Stylish and chic, this outfit features a black top and a beige skirt."
86,286.png,"The image shows a vibrant blue umbrella with a pattern of intricate designs against a stark black background, creating a striking contrast.","This is a stylish blue umbrella with a unique, intricate pattern."
87,182.png,"The image shows a gold plated brooch with a cluster of yellow stones, set against a dark background. The brooch has a glossy finish, reflecting light and giving it a shimmering appearance. The yellow stones are arranged in a symmetrical pattern, creating a visually pleasing design.","This is a beautiful, shimmering gold brooch with a cluster of bright yellow stones."
88,91.png,The image shows a close-up of a white and brown leather belt with a silver buckle against a dark background.,Stylish brown and white leather belt with a silver buckle.
89,112.png,"The image shows a woman standing against a dark background, wearing a black top and gray pinstriped trouser, accessorized with a belt.","Stylish and professional, this outfit features a sleek black top and gray pinstriped trousers."
90,79.png,"The image shows a white and blue toy box with the text ""yoo n' friends ruffy"" printed on it, set against a dark background. A human hand is positioned to the right of the box, suggesting it is a toy.","This is a fun toy box for kids! It's bright and colorful with a cute design featuring ""Yoo N' Friends Ruffy""."
91,211.png,"The image shows a woman wearing a navy blue down jacket with a hood, set against a black background. The jacket has a sleek, modern design with a high collar, long sleeves, and a full-length zipper. The fabric is lightweight and water-resistant, making it perfect for cold weather.","Stylish navy blue down jacket, water-resistant and perfect for cold weather."
92,179.png,"The image shows a woman standing against a black background, wearing a white top and black and white patterned leggings.",Stylish white top and black and white patterned leggings.
93,209.png,"The image shows a young girl standing against a dark background, wearing a shiny black sweatshirt and pants.",Stylish black sweatshirt and pants set.
94,483.png,"The image shows a mannequin head wearing a blue and white striped hat with a blue pom-pom, set against a dark background.",Striped blue and white hat with a fluffy blue pom-pom.
95,34.png,The image shows a burgundy leather handbag on a black background. The bag has a structured shape with a top handle and a detachable shoulder strap. It has a glossy finish and a zipper closure. The burgundy color gives it a sophisticated and stylish look.,Stylish burgundy leather handbag.  Structured design with a top handle and detachable shoulder strap.  Glossy finish and zipper closure.
96,496.png,"The image shows a blue and white nebula-patterned e-liquid bottle with a black cap, set against a black background.","Cool, modern e-liquid bottle with a nebula design."
97,375.png,"The image shows a woman standing against a dark background, wearing a white t-shirt with a black and white patterned back and black pants.","Stylish white t-shirt with a cool black and white pattern on the back, paired with black pants."
98,73.png,"The image shows a rectangular silver loaf pan with a handle, set against a dark background.",**Silver loaf pan with handle**
99,123.png,"The image shows a pair of black chino trousers against a black background. The trousers have a classic, tailored fit with a straight leg and a slightly tapered leg. The fabric has a slight sheen, indicating it has been used for a long time. The dark color of the trousers stands out against the black background, creating a stark contrast.","These are classic black chinos, well-worn and with a tailored fit."
100,246.png,"The image shows a silver tweezers on a black background. The tweezer has a sleek, metallic finish, reflecting light and giving it a reflective sheen.","Sleek, silver tweezers with a reflective, metallic finish."
101,437.png,"The image shows a brown and black luggage tag with a white ribbon tied around it, set against a dark background.",Stylish luggage tag with a brown and black design and a white ribbon.
102,260.png,"The image shows a man standing against a dark background wearing a white Levi's t-shirt with a graphic of palm trees and the text ""Levi's"" printed on it.",Classic white Levi's t-shirt with a palm tree graphic.
103,131.png,"The image shows a black bean bag chair with a vibrant floral pattern of pink, yellow, and white.","This comfy bean bag chair is a fun splash of color!  It's covered in a bright floral pattern with pink, yellow, and white flowers."
104,383.png,"The image shows a pair of grey slippers with a pink bow, set against a black background. The slippers feature a playful design, with the pink bow adding a cheerful touch.",Cute and comfy grey slippers with a pink bow.
105,431.png,"The image shows a beige backpack with a zipper on the front, set against a black background. The bag has a sleek, modern design with a smooth, glossy finish. It features adjustable straps and a spacious main compartment, perfect for carrying all your essentials.","This is a stylish, modern beige backpack with a sleek design. It has adjustable straps and a spacious main compartment."
106,210.png,"The image shows a cartoon character with blonde hair, wearing a striped dress, sitting on a cloud with a cigarette in one hand and a cigarette lighter in the other. The background is dark, and there is some text visible.","This is a fun, quirky cartoon character design!  She's got a stylish striped dress and a cool, smoking look."
107,66.png,"The image shows a hand holding a white cloth with a black and white bird pattern on it against a dark background. The pattern consists of various birds, creating a unique and eye-catching design.",**Bird Patterned Cloth** - Unique and eye-catching design featuring a variety of birds.
108,302.png,"The image shows a cream-colored, long-sleeved turtleneck top with a ruffled neckline against a black background.",Cream turtleneck with ruffled neckline.
109,351.png,"The image shows a drawstring bag with a panda face printed on it, holding a butterfly in its mouth. The panda has a white and black coat, and the butterfly is a vibrant pink.",Cute drawstring bag with a playful panda holding a pink butterfly.
110,305.png,"The image shows a woman wearing a white shirt and black pants, accessorized with a brown belt. The background is dark, highlighting the woman and her outfit.","Classic and chic, this outfit features a crisp white shirt and black pants. A brown belt adds a touch of detail."
111,74.png,"The image shows a woman wearing a pink top and black pants, accessorized with a burgundy, solid-colored scarf. The background is a muted black, highlighting the vibrant colors of her clothing.",Stylish pink top and black pants.  A burgundy scarf adds a pop of color.
112,163.png,In this image we can see undergarments. Background is dark.,These are underwear.
113,354.png,"The image shows a close up of a black shoe with a glossy finish, set against a stark black background. The shoe's sole is smooth and glossy, reflecting the light, giving it a sleek and modern look.",Sleek black shoes with a glossy finish.
114,220.png,"The image shows a vibrant purple garment bag on a stark black background, creating a striking contrast between the two colors. The bag is made of a glossy material, reflecting light and giving it a glossy sheen. The dark background serves to highlight the bag's vivid hue, making it stand out.","This is a stylish purple garment bag, made of shiny material."
115,415.png,"The image shows a blue and white striped crossbody bag with a black handle, set against a black background. The bag features alternating blue stripes, giving it a unique and stylish look.",Stylish blue and white striped crossbody bag.
116,125.png,"The image shows two containers filled with colorful plastic beads, each labeled with text and pictures, against a dark background. The containers are filled with a variety of beads in bright, vibrant colors, ranging from blues and purples to pinks and yellows.","Colorful, textured plastic bead assortment."
117,368.png,"The image shows a man standing against a black background, wearing a white Lacoste hooded sweatshirt with a green crocodile logo and text.",Stylish white Lacoste sweatshirt with a green crocodile logo.
118,319.png,"The image shows a woman wearing a black corset with a checkered pattern, standing against a dark background.",Stylish black corset with a checkered pattern.
119,245.png,The image shows a blue and white toy dog with a black and white face against a dark background.,Cute blue and white toy dog with a black and white face.
120,270.png,"The image shows a woman standing against a dark background, wearing a gray tank top and blue pants.",Simple and stylish gray tank top and blue pants.
121,172.png,"The image shows a pair of gold shoes on a black background. The shoes have a glossy finish, reflecting light and giving them a shimmering appearance. The black background provides a stark contrast to the shoes, highlighting their details.",Shiny gold shoes.
122,129.png,The image shows a pair of blue trousers with white lilies painted on them against a dark background.,Stylish blue trousers with white lily designs.
123,221.png,"The image shows a close-up view of a brown leather boot with a white sole against a dark background. The boot has a glossy finish, likely leather, and a rounded toe. The sole is a light tan color, contrasting with the darker brown of the boot.",Stylish brown leather boots with a white sole.
124,317.png,"The image shows a woman standing against a black background, wearing a navy blue dress with a one-shoulder design.",Stylish one-shoulder navy blue dress.
125,324.png,"The image shows a young girl standing against a black background, wearing a navy floral-patterned hoodie and matching jogger pants.",Cute floral hoodie and jogger set.
126,118.png,"The image shows a woman standing against a black background, wearing a black overgarment and a white shirt.","Stylish and simple, this black overgarment and white shirt combo is perfect for a chic and effortless look."
127,364.png,"The image shows a woman wearing a gray coat and black pants, accessorized with a navy blue backpack.","Stylish and practical, this gray coat and black pants outfit is perfect for everyday wear."
128,223.png,"The image shows a woman standing against a black background, wearing a light blue coat and black pants.","Stylish and chic, this woman's outfit features a light blue coat and black pants."
129,212.png,"The image shows a pink t-shirt on a black background, creating a stark contrast between the two colors. The shirt is made of a soft, comfortable material, likely cotton, and features a classic fit with a round neckline and short sleeves. The color is a vibrant pink, contrasting sharply against the dark background.","This is a soft, comfortable pink t-shirt with a classic fit.  It's a vibrant pink color."
130,499.png,In this image we can see a woman standing and posing. The background is dark.,"Stylish and confident, this woman's dark outfit makes a statement."
131,440.png,"The image shows a baby sitting on a yellow pillow, wearing a black and white hoodie and black pants, against a dark background.",Adorable baby in a comfy black and white hoodie and black pants.
132,273.png,The image shows a vibrant pink lipstick with a gold cap against a stark black background.,"This is a bold, statement-making pink lipstick with a touch of luxury."
133,332.png,"The image shows a close up of a camouflage neck gaiter with a black background. The gaiter is made of a blend of green, brown, and black colors.",Camouflage neck gaiter.
134,242.png,"The image shows a woman standing against a dark background, wearing a white t-shirt and black leggings.",Simple and stylish! This woman's outfit is perfect for a casual day out.
135,56.png,"The image shows a woman standing against a black background, wearing a pink hooded jacket and blue jeans.",Stylish pink hooded jacket and blue jeans.
136,119.png,"The image shows a white and gray handbag with a floral pattern on it, set against a dark background. The handbag has a structured shape with a top handle and a detachable shoulder strap, making it perfect for everyday use. The floral pattern is composed of various shades of gray, giving the bag a unique and stylish look.","Stylish and practical, this floral-patterned handbag is perfect for everyday use."
137,244.png,The image shows a man wearing a blue long-sleeved shirt and black pants against a black background.,"Classic and simple, this shirt and pants combo is perfect for a casual look."
138,65.png,"The image shows a poster with a dark background featuring a book with a yellow cover and a red and black cover. The text on the poster reads ""A+A Advanced Russian Language Proficiency Test CD-ROM"".",**Book & CD-ROM for Russian Language Proficiency**
139,297.png,The image shows a woman wearing a pink zip-up hoodie and white pants against a black background.,Stylish pink zip-up hoodie and white pants.
140,234.png,"The image shows a pink tie with a paisley pattern on a black background, creating a striking contrast.",Stylish paisley tie in a vibrant pink.
141,84.png,"The image shows a room with a red door, a window, and a floor. At the top of the image, there are question marks, and at the bottom, there is text. The room is brightly colored, with the red door and window contrasting against the black background.","Vibrant red door and window frame a bright, colorful room."
142,36.png,"The image shows a white plastic object, resembling a cap, on a black background. It has a glossy, reflective surface, likely made of plastic, reflecting light and giving it a reflective sheen.","Shiny, reflective plastic cap."
143,435.png,"The image shows a smartphone with a black screen displaying the text ""ТВОЙ ЧЕХОI"" against a dark background.",**Stylish phone with a unique design.**
144,347.png,The image shows a woman wearing a white scarf with a vibrant floral pattern of pink and green hues against a dark background.,**White scarf with floral print**
145,149.png,"The image shows a woman wearing a navy blue, double-breasted coat and blue pants against a black background.",Stylish navy blue double-breasted coat and blue pants.
146,162.png,"The image shows two white ceramic mugs with a whimsical illustration of a rabbit wearing green pants and a red shirt, set against a dark background.",Cute rabbit mugs! 🐰💚👕
147,470.png,"The image shows a close up view of the sole of a pair of blue and white sneakers, set against a dark background. The shoes have a sleek design with a rounded toe and a thick sole. The upper part of the shoe is made of a combination of leather and synthetic materials, and the laces are a contrasting white color.",These are stylish blue and white sneakers with a sleek design. They have a rounded toe and a thick sole for comfort.  The upper is a mix of leather and synthetic materials.
148,52.png,"The image shows a pink turtleneck sweater on a black background. The sweater has a high neckline, long sleeves, and a button-down front. The text at the top of the image reads ""Turtleneck"". The sweater is a vibrant pink, contrasting against the dark background.","This is a stylish pink turtleneck sweater. It's a classic design with a high neckline, long sleeves, and a button-down front."
149,323.png,"The image shows a gold ring with numerous diamonds set against a black background. The ring is adorned with numerous stones, giving it a luxurious and elegant look.","This is a stunning, sparkling ring with a luxurious look. It features many diamonds set in a beautiful design."
150,349.png,"The image shows a woman wearing a blue long-sleeved t-shirt and blue jeans, standing against a black background.",Classic blue t-shirt and jeans combo.
151,445.png,"The image shows a man standing against a black background, wearing a light gray crew neck sweater and light blue jeans.",Casual and comfy.  Light gray sweater and blue jeans.
152,23.png,The image shows a pair of blue slip-on shoes with a detailed design of a cat on them against a black background.,Cute cat-themed slip-on shoes.
153,418.png,"The image shows a man standing against a dark background, wearing a grey t-shirt and a pair of blue denim jeans. His shoes are black, completing the look.","Classic casual look. Grey t-shirt, blue jeans, and black shoes."
154,357.png,"The image shows a bottle of brown liquid with a white label and a red cap, alongside a white box with text on it, against a dark background.",**Brown liquid bottle with a red cap and white label.**  **White box with text.**
155,253.png,The image shows a mint green bow tie on a black background.,Mint green bow tie.
156,80.png,"The image shows three amber glass jars with lids, each containing a distinct amber hue, set against a dark background. The jars are cylindrical in shape and have a glossy finish, reflecting light and creating a warm, inviting atmosphere.","These are beautiful amber glass jars, perfect for storing and displaying. They have a shiny, glossy finish and a classic cylindrical shape."
157,78.png,"The image shows a woman standing against a black background, wearing a lavender dressing gown and white shoes.",Relaxing lavender dressing gown and stylish white shoes.
158,303.png,"The image shows a woman standing against a black background, wearing a beige and black zebra print shirt and black pants.",Stylish zebra print shirt and pants combo.
159,296.png,"The image shows a baby wearing mint green pants with a bow on the front, set against a dark background. The pants have a soft, velvety texture and the bow adds a playful touch.",Adorable mint green pants with a playful bow detail. Soft and velvety for a comfy feel.
160,313.png,The image shows a dark background with a set of colored pencils and a pencil sharpener arranged in a neat row. The pencils have a glossy finish and the sharpener has a cylindrical shape with a pointed tip. The colors of the pencils range from light to dark shades.,**Art Supplies:** Colorful pencils and a sharpener.
161,60.png,"The image shows a smartphone securely held in place by a golden ring light, illuminated against a dark background. The phone's screen displays icons, indicating it is ready to be used.","**Phone Ring Light** -  A stylish golden ring light for your phone, perfect for taking clear photos and videos."
162,192.png,"The image shows a baby stroller with a lavender and black color scheme, set against a black background. The stroller has a sleek, modern design with a comfortable seat, adjustable handlebar, and a large storage basket underneath. The wheels are large and sturdy, and the handlebar is ergonomically designed for comfort and ease of maneuverability.",This stroller is stylish and practical. It has a sleek design with a comfortable seat and a large storage basket.
163,320.png,In this image we can see a model wearing a shimmering pink color dress. The background is dark.,This is a stunning pink dress that shimmers in the light.
164,31.png,"The image shows a woman wearing a black tank top and leggings, standing against a black background. The tank top has a scoop neckline and thin straps, and the legging is a solid black color. She has a confident stance, her hands resting on her hips.",Stylish black tank top and leggings set.
165,134.png,"The image shows a pale pink suede flat cap against a dark background. The cap has a soft, velvety texture and is a muted pink hue.","Soft, velvety suede flat cap in a muted pink hue."
166,138.png,In this image we can see a heel.,This is a shoe heel. 👠
